r,rr,trtype,t,Value
p14,p17,AC,2041,121733.985
p14,p17,AC,2044,121733.985
p14,p17,AC,2047,121733.985
p14,p17,AC,2050,235475.26237
p15,p16,AC,2010,691858.40858
p15,p16,AC,2015,691858.40858
p15,p16,AC,2020,691858.40858
p15,p16,AC,2023,691858.40858
p15,p16,AC,2026,691858.40858
p15,p16,AC,2029,691858.40858
p15,p16,AC,2032,691858.40858
p15,p16,AC,2035,691858.40858
p15,p16,AC,2038,691858.40858
p15,p16,AC,2041,691858.40858
p15,p16,AC,2044,691858.40858
p15,p16,AC,2047,691858.40858
p15,p16,AC,2050,691858.40858
p15,p17,AC,2010,651224.98985
p15,p17,AC,2015,651224.98985
p15,p17,AC,2020,651224.98985
p15,p17,AC,2023,651224.98985
p15,p17,AC,2026,651224.98985
p15,p17,AC,2029,651224.98985
p15,p17,AC,2032,651224.98985
p15,p17,AC,2035,651224.98985
p15,p17,AC,2038,651224.98985
p15,p17,AC,2041,651224.98985
p15,p17,AC,2044,651224.98985
p15,p17,AC,2047,651224.98985
p15,p17,AC,2050,651224.98985
p16,p17,AC,2010,81096.81606
p16,p17,AC,2015,81096.81606
p16,p17,AC,2020,81096.81606
p16,p17,AC,2023,81096.81606
p16,p17,AC,2026,81096.81606
p16,p17,AC,2029,81096.81606
p16,p17,AC,2032,81096.81606
p16,p17,AC,2035,81096.81606
p16,p17,AC,2038,81096.81606
p16,p17,AC,2041,81096.81606
p16,p17,AC,2044,81096.81606
p16,p17,AC,2047,81096.81606
p16,p17,AC,2050,81096.81606
p16,p21,AC,2010,499584.213665
p16,p21,AC,2015,499584.213665
p16,p21,AC,2020,499584.213665
p16,p21,AC,2023,499584.213665
p16,p21,AC,2026,499584.213665
p16,p21,AC,2029,499584.213665
p16,p21,AC,2032,499584.213665
p16,p21,AC,2035,499584.213665
p16,p21,AC,2038,499584.213665
p16,p21,AC,2041,499584.213665
p16,p21,AC,2044,499584.213665
p16,p21,AC,2047,499584.213665
p16,p21,AC,2050,499584.213665
p16,p25,AC,2010,367923.233565
p16,p25,AC,2015,367923.233565
p16,p25,AC,2020,367923.233565
p16,p25,AC,2023,367923.233565
p16,p25,AC,2026,367923.233565
p16,p25,AC,2029,367923.233565
p16,p25,AC,2032,367923.233565
p16,p25,AC,2035,367923.233565
p16,p25,AC,2038,367923.233565
p16,p25,AC,2041,367923.233565
p16,p25,AC,2044,420903.563647
p16,p25,AC,2047,448990.362308
p16,p25,AC,2050,448990.362308
p17,p18,AC,2010,56048.232195
p17,p18,AC,2015,56048.232195
p17,p18,AC,2020,56048.232195
p17,p18,AC,2023,56048.232195
p17,p18,AC,2026,56048.232195
p17,p18,AC,2029,56048.232195
p17,p18,AC,2032,56048.232195
p17,p18,AC,2035,56048.232195
p17,p18,AC,2038,56048.232195
p17,p18,AC,2041,286097.613494
p17,p18,AC,2044,313109.150345
p17,p18,AC,2047,319318.854949
p17,p18,AC,2050,488952.588439
p17,p20,AC,2010,566303.96868
p17,p20,AC,2015,566303.96868
p17,p20,AC,2020,566303.96868
p17,p20,AC,2023,566303.96868
p17,p20,AC,2026,566303.96868
p17,p20,AC,2029,566303.96868
p17,p20,AC,2032,566303.96868
p17,p20,AC,2035,566303.96868
p17,p20,AC,2038,566303.96868
p17,p20,AC,2041,566303.96868
p17,p20,AC,2044,566303.96868
p17,p20,AC,2047,566303.96868
p17,p20,AC,2050,566303.96868
p18,p20,AC,2010,121395.11068
p18,p20,AC,2015,121395.11068
p18,p20,AC,2020,121395.11068
p18,p20,AC,2023,121395.11068
p18,p20,AC,2026,121395.11068
p18,p20,AC,2029,121395.11068
p18,p20,AC,2032,121395.11068
p18,p20,AC,2035,121395.11068
p18,p20,AC,2038,121395.11068
p18,p20,AC,2041,121395.11068
p18,p20,AC,2044,121395.11068
p18,p20,AC,2047,121395.11068
p18,p20,AC,2050,121395.11068
p18,p21,AC,2010,129917.247465
p18,p21,AC,2015,129917.247465
p18,p21,AC,2020,129917.247465
p18,p21,AC,2023,129917.247465
p18,p21,AC,2026,129917.247465
p18,p21,AC,2029,129917.247465
p18,p21,AC,2032,129917.247465
p18,p21,AC,2035,129917.247465
p18,p21,AC,2038,129917.247465
p18,p21,AC,2041,129917.247465
p18,p21,AC,2044,129917.247465
p18,p21,AC,2047,129917.247465
p18,p21,AC,2050,209434.143874
p18,p22,AC,2010,138657.84
p18,p22,AC,2015,138657.84
p18,p22,AC,2020,138657.84
p18,p22,AC,2023,138657.84
p18,p22,AC,2026,138657.84
p18,p22,AC,2029,138657.84
p18,p22,AC,2032,138657.84
p18,p22,AC,2035,138657.84
p18,p22,AC,2038,138657.84
p18,p22,AC,2041,138657.84
p18,p22,AC,2044,138657.84
p18,p22,AC,2047,138657.84
p18,p22,AC,2050,138657.84
p18,p23,AC,2010,3619.1256
p18,p23,AC,2015,3619.1256
p18,p23,AC,2020,3619.1256
p18,p23,AC,2023,3619.1256
p18,p23,AC,2026,3619.1256
p18,p23,AC,2029,3619.1256
p18,p23,AC,2032,3619.1256
p18,p23,AC,2035,3619.1256
p18,p23,AC,2038,3619.1256
p18,p23,AC,2041,3619.1256
p18,p23,AC,2044,3619.1256
p18,p23,AC,2047,3619.1256
p18,p23,AC,2050,3619.1256
p20,p35,B2B,2010,28104.0
p20,p35,B2B,2015,28104.0
p20,p35,B2B,2020,28104.0
p20,p35,B2B,2023,28104.0
p20,p35,B2B,2026,28104.0
p20,p35,B2B,2029,28104.0
p20,p35,B2B,2032,28104.0
p20,p35,B2B,2035,28104.0
p20,p35,B2B,2038,28104.0
p20,p35,B2B,2041,52546.949671
p20,p35,B2B,2044,52546.949671
p20,p35,B2B,2047,85049.199347
p20,p35,B2B,2050,194727.921113
p21,p24,AC,2010,694502.81526
p21,p24,AC,2015,694502.81526
p21,p24,AC,2020,694502.81526
p21,p24,AC,2023,694502.81526
p21,p24,AC,2026,694502.81526
p21,p24,AC,2029,694502.81526
p21,p24,AC,2032,694502.81526
p21,p24,AC,2035,694502.81526
p21,p24,AC,2038,694502.81526
p21,p24,AC,2041,694502.81526
p21,p24,AC,2044,694502.81526
p21,p24,AC,2047,694502.81526
p21,p24,AC,2050,694502.81526
p21,p25,AC,2010,91188.2805
p21,p25,AC,2015,91188.2805
p21,p25,AC,2020,91188.2805
p21,p25,AC,2023,91188.2805
p21,p25,AC,2026,91188.2805
p21,p25,AC,2029,91188.2805
p21,p25,AC,2032,91188.2805
